ocel:eid,ocel:timestamp,ocel:activity,ocel:type:orders,ocel:type:customers,ocel:type:items,ocel:type:products,ocel:type:employees,ocel:type:packages
place_o-990001,2023-04-03 12:08:18+00:00,place order,['o-990001'],['Balkan Minerals d.o.o.'],"['i-880001', 'i-880002', 'i-880003']","['iPad mini', 'iPad Air', 'iPad Pro']",,
place_o-990002,2023-04-03 16:36:55+00:00,place order,['o-990002'],['Baltic Wave Energies Ltd.'],['i-880004'],['Fire Stick 4K'],,
place_o-990003,2023-04-03 23:31:23+00:00,place order,['o-990003'],['Riviera Robotics SAS'],"['i-880005', 'i-880006', 'i-880007', 'i-880008']","['iPhone X', 'MacBook Air', 'Echo Plus', 'Echo Show 5']",,
place_o-990004,2023-04-04 12:30:50+00:00,place order,['o-990004'],['Vesta Fashion House GmbH'],['i-880009'],['Echo'],,
place_o-990005,2023-04-04 17:21:59+00:00,place order,['o-990005'],['Golden Fleece Textiles S.A.R.L.'],"['i-880010', 'i-880011', 'i-880012', 'i-880013', 'i-880014', 'i-880015']","['Fire Stick 4K', 'iPad mini', 'iPad Air', 'Fire Stick 4K', 'iPhone 11 Pro', 'Echo']",,
confirm_o-990001,2023-04-04 22:23:19+00:00,confirm order,['o-990001'],['Balkan Minerals d.o.o.'],"['i-880001', 'i-880002', 'i-880003']","['iPad mini', 'iPad Air', 'iPad Pro']",['Christine von Dobbert'],
confirm_o-990002,2023-04-05 00:49:56+00:00,confirm order,['o-990002'],['Baltic Wave Energies Ltd.'],['i-880004'],['Fire Stick 4K'],['Wil van der Aalst'],
pick_i-880008,2023-04-05 02:29:53+00:00,pick item,,,['i-880008'],['Echo Show 5'],['Nina Graves'],
pick_i-880006,2023-04-05 02:31:29+00:00,pick item,,,['i-880006'],['MacBook Air'],['Mahsa Bafrani'],
pick_i-880004,2023-04-05 02:36:11+00:00,pick item,,,['i-880004'],['Fire Stick 4K'],['Detlef Wetzeler'],
pick_i-880003,2023-04-05 02:36:45+00:00,pick item,,,['i-880003'],['iPad Pro'],['Christopher Schwanen'],
pick_i-880012,2023-04-05 02:36:51+00:00,pick item,,,['i-880012'],['iPad Air'],['Marco Pegoraro'],
pick_i-880005,2023-04-05 02:41:13+00:00,pick item,,,['i-880005'],['iPhone X'],['Marco Pegoraro'],
pick_i-880014,2023-04-05 02:43:19+00:00,pick item,,,['i-880014'],['iPhone 11 Pro'],['Mahsa Bafrani'],
pick_i-880013,2023-04-05 02:50:59+00:00,pick item,,,['i-880013'],['Fire Stick 4K'],['Marco Pegoraro'],
pick_i-880002,2023-04-05 02:53:47+00:00,pick item,,,['i-880002'],['iPad Air'],['Nina Graves'],
pick_i-880007,2023-04-05 02:57:29+00:00,pick item,,,['i-880007'],['Echo Plus'],['Marco Pegoraro'],
pick_i-880010,2023-04-05 02:57:57+00:00,pick item,,,['i-880010'],['Fire Stick 4K'],['Mahsa Bafrani'],
pick_i-880011,2023-04-05 02:59:53+00:00,pick item,,,['i-880011'],['iPad mini'],['Marco Pegoraro'],
pick_i-880001,2023-04-05 03:14:41+00:00,pick item,,,['i-880001'],['iPad mini'],['Marco Pegoraro'],
place_o-990006,2023-04-05 06:24:56+00:00,place order,['o-990006'],['Danube Pharmaceuticals BV'],"['i-880016', 'i-880017']","['iPad mini', 'Kindle']",,
confirm_o-990003,2023-04-05 09:25:10+00:00,confirm order,['o-990003'],['Riviera Robotics SAS'],"['i-880005', 'i-880006', 'i-880007', 'i-880008']","['iPhone X', 'MacBook Air', 'Echo Plus', 'Echo Show 5']",['Istvan Koren'],
pick_i-880016,2023-04-05 10:55:12+00:00,pick item,,,['i-880016'],['iPad mini'],['Leah Tacke genannt Unterberg'],
pick_i-880017,2023-04-05 11:08:36+00:00,pick item,,,['i-880017'],['Kindle'],['Christopher Schwanen'],
out_of_stock_i-880009,2023-04-05 11:38:55+00:00,item out of stock,,,['i-880009'],['Echo'],['Christopher Schwanen'],
place_o-990007,2023-04-05 13:05:45+00:00,place order,['o-990007'],['Mediterranea Luxury Cruises S.p.A.'],"['i-880018', 'i-880019', 'i-880020', 'i-880021', 'i-880022', 'i-880023']","['iPhone 8', 'iPad Pro', 'Echo Dot', 'iPhone 11', 'MacBook Air', 'iPhone 11 Pro']",,
out_of_stock_i-880015,2023-04-05 13:20:43+00:00,item out of stock,,,['i-880015'],['Echo'],['Nina Graves'],
reminder_o-990001_1,2023-04-05 15:34:26+00:00,payment reminder,['o-990001'],,"['i-880001', 'i-880002', 'i-880003']","['iPad mini', 'iPad Air', 'iPad Pro']",,
reminder_o-990002_2,2023-04-05 16:08:43+00:00,payment reminder,['o-990002'],,['i-880004'],['Fire Stick 4K'],,
