ocel:eid,ocel:timestamp,ocel:activity,ocel:type:orders,ocel:type:customers,ocel:type:items,ocel:type:products,ocel:type:employees,ocel:type:packages
place_o-990001,2023-04-03 12:08:18+00:00,place order,['o-990001'],['Balkan Minerals d.o.o.'],"['i-880001', 'i-880002', 'i-880003']","['iPad mini', 'iPad Air', 'iPad Pro']",,
place_o-990002,2023-04-03 16:36:55+00:00,place order,['o-990002'],['Baltic Wave Energies Ltd.'],['i-880004'],['Fire Stick 4K'],,
place_o-990003,2023-04-03 23:31:23+00:00,place order,['o-990003'],['Riviera Robotics SAS'],"['i-880005', 'i-880006', 'i-880007', 'i-880008']","['iPhone X', 'MacBook Air', 'Echo Plus', 'Echo Show 5']",,
place_o-990004,2023-04-04 12:30:50+00:00,place order,['o-990004'],['Vesta Fashion House GmbH'],['i-880009'],['Echo'],,
place_o-990005,2023-04-04 17:21:59+00:00,place order,['o-990005'],['Golden Fleece Textiles S.A.R.L.'],"['i-880010', 'i-880011', 'i-880012', 'i-880013', 'i-880014', 'i-880015']","['Fire Stick 4K', 'iPad mini', 'iPad Air', 'Fire Stick 4K', 'iPhone 11 Pro', 'Echo']",,
confirm_o-990001,2023-04-04 22:51:38+00:00,confirm order,['o-990001'],['Balkan Minerals d.o.o.'],"['i-880001', 'i-880002', 'i-880003']","['iPad mini', 'iPad Air', 'iPad Pro']",['Christine von Dobbert'],
pick_i-880011,2023-04-05 03:18:18+00:00,pick item,,,['i-880011'],['iPad mini'],['Leah Tacke genannt Unterberg'],
pick_i-880008,2023-04-05 03:18:18+00:00,pick item,,,['i-880008'],['Echo Show 5'],['Leah Tacke genannt Unterberg'],
pick_i-880010,2023-04-05 03:18:18+00:00,pick item,,,['i-880010'],['Fire Stick 4K'],['Mahsa Bafrani'],
pick_i-880007,2023-04-05 03:18:18+00:00,pick item,,,['i-880007'],['Echo Plus'],['Nina Graves'],
pick_i-880013,2023-04-05 03:18:18+00:00,pick item,,,['i-880013'],['Fire Stick 4K'],['Mahsa Bafrani'],
pick_i-880005,2023-04-05 03:18:18+00:00,pick item,,,['i-880005'],['iPhone X'],['Detlef Wetzeler'],
pick_i-880002,2023-04-05 03:18:18+00:00,pick item,,,['i-880002'],['iPad Air'],['Christopher Schwanen'],
pick_i-880003,2023-04-05 03:18:18+00:00,pick item,,,['i-880003'],['iPad Pro'],['Marco Pegoraro'],
pick_i-880006,2023-04-05 03:18:18+00:00,pick item,,,['i-880006'],['MacBook Air'],['Marco Pegoraro'],
pick_i-880012,2023-04-05 03:18:18+00:00,pick item,,,['i-880012'],['iPad Air'],['Mahsa Bafrani'],
pick_i-880014,2023-04-05 03:18:18+00:00,pick item,,,['i-880014'],['iPhone 11 Pro'],['Marco Pegoraro'],
pick_i-880004,2023-04-05 03:18:18+00:00,pick item,,,['i-880004'],['Fire Stick 4K'],['Nina Graves'],
pick_i-880001,2023-04-05 03:18:18+00:00,pick item,,,['i-880001'],['iPad mini'],['Marco Pegoraro'],
confirm_o-990002,2023-04-05 03:20:15+00:00,confirm order,['o-990002'],['Baltic Wave Energies Ltd.'],['i-880004'],['Fire Stick 4K'],['Christine von Dobbert'],
place_o-990006,2023-04-05 06:24:56+00:00,place order,['o-990006'],['Iberian Sun Solaridades SA'],"['i-880016', 'i-880017']","['Kindle Paperwhite', 'Kindle Paperwhite']",,
confirm_o-990003,2023-04-05 10:14:43+00:00,confirm order,['o-990003'],['Riviera Robotics SAS'],"['i-880005', 'i-880006', 'i-880007', 'i-880008']","['iPhone X', 'MacBook Air', 'Echo Plus', 'Echo Show 5']",['Istvan Koren'],
out_of_stock_i-880015,2023-04-05 12:44:58+00:00,item out of stock,,,['i-880015'],['Echo'],['Leah Tacke genannt Unterberg'],
out_of_stock_i-880009,2023-04-05 12:44:58+00:00,item out of stock,,,['i-880009'],['Echo'],['Christopher Schwanen'],
pick_i-880017,2023-04-05 13:04:56+00:00,pick item,,,['i-880017'],['Kindle Paperwhite'],['Christopher Schwanen'],
pick_i-880016,2023-04-05 13:04:56+00:00,pick item,,,['i-880016'],['Kindle Paperwhite'],['Christopher Schwanen'],
place_o-990007,2023-04-05 13:05:45+00:00,place order,['o-990007'],['SwissPeak Timepieces AG'],"['i-880018', 'i-880019', 'i-880020', 'i-880021', 'i-880022']","['iPad', 'iPad Air', 'iPhone 8', 'iPad Air', 'iPad Pro']",,
reminder_o-990001_1,2023-04-05 15:31:38+00:00,payment reminder,['o-990001'],,"['i-880001', 'i-880002', 'i-880003']","['iPad mini', 'iPad Air', 'iPad Pro']",,
pay_o-990002,2023-04-05 17:13:35+00:00,pay order,['o-990002'],,['i-880004'],['Fire Stick 4K'],,
